Product,Interest,Amount,Period,Risk
Diplopteryga,13.87,847000,1,low
nodding,16.56,770800,62,low
morel,1.65,984300,18,low
insinuating,6.14,983600,93,high
lord,17.60,501500,13,medium
larvicolous,4.80,913100,24,medium
sowbane,7.75,106000,159,medium
stonewise,3.01,100100,152,medium
tara,2.36,228200,144,high
subpagoda,9.90,527800,158,medium
recopy,8.25,827200,31,low
ethnogeographer,2.92,639600,95,high
proctoptosis,6.82,600800,80,low
bootleg,2.08,874600,98,low
trimethylstibine,17.88,903500,58,medium
parfocal,3.38,308300,10,low
lander,10.93,117800,90,low
insolent,8.62,232900,117,medium
noncongestion,12.86,452500,171,low
intercomparable,7.82,14600,120,high
jiffle,7.29,493400,109,low
deserveless,13.07,153800,55,high
coneen,13.84,510700,11,high
nymphiparous,17.71,575300,87,high
Blemmyes,3.73,594800,87,high
scalpless,13.60,900800,38,low
horsetail,17.99,245700,63,low
geneki,9.72,891700,106,low
tragelaphine,2.36,431200,85,high
coxankylometer,8.69,817400,8,medium
hypostomatic,10.99,846300,43,low
nephelorometer,12.43,46800,33,high
scapula,7.81,685000,132,low
omphaloncus,0.09,255800,57,medium
elytron,12.34,714300,107,high
Ornithodelphia,6.94,700700,27,medium
cardiagram,19.80,649900,137,high
apery,6.09,553100,78,high
mucinous,14.79,515200,5,medium
dird,16.17,862200,116,medium
unsepulcher,6.42,877700,12,medium
spaid,9.14,409200,163,medium
stablestand,17.28,132200,96,high
repropagate,17.77,425200,127,low
quotability,13.96,309200,129,medium
prude,17.43,429800,179,medium
orangeroot,11.48,543300,45,medium
wassie,18.61,636400,103,low
humaneness,18.81,786000,14,medium
telegrammatic,6.15,745600,104,high
micropin,17.90,681500,137,medium
syntonizer,14.31,964500,63,medium
dihalide,4.11,280500,80,low
myriameter,16.06,779400,37,low
contiguousness,2.22,49900,11,medium
caterwauling,16.06,669500,89,high
sapanwood,18.50,77900,137,high
immanentism,0.65,537600,104,medium
endothermic,15.65,792800,105,medium
stultification,17.34,78200,37,high
psalis,1.95,775900,110,high
auriferous,2.89,999500,63,medium
delignification,15.42,234100,174,low
uberously,10.65,149600,78,low
juggernaut,9.51,647100,112,high
subability,0.65,375600,109,medium
contraband,15.96,290600,39,high
prespecify,11.00,929700,12,low
grandmotherhood,4.80,416700,75,high
twiglike,8.20,410300,89,low
pinning,13.48,865600,83,medium
diurnule,4.94,851500,140,medium
significatively,1.73,102100,168,medium
tidyism,13.07,938100,173,medium
tamponment,17.86,595700,27,low
spoiling,2.08,100100,101,medium
Geechee,8.96,776800,8,low
oxyberberine,1.38,971600,62,medium
unbeliever,9.67,369600,13,medium
butanone,12.88,799200,141,medium
discommons,10.33,128900,66,high
hysterophyte,13.73,814400,119,low
hypophyllium,17.66,505100,110,high
denitrize,19.58,463700,91,low
godmaking,1.38,784600,98,low
fleeting,3.19,258200,56,high
newelty,11.35,85600,144,low
pratincolous,14.60,710600,62,medium
baldhead,9.20,592100,109,low
protogynous,15.91,160000,160,low
utsuk,7.57,531800,73,high
quodlibetarian,3.07,542100,151,low
Duryodhana,15.66,1300,103,high
bellylike,7.21,345200,44,low
cathisma,7.82,594600,106,low
phytogeographic,7.30,678400,62,low
superaltern,15.68,347200,72,medium
devotionalness,8.12,536200,61,low
polyergic,13.99,972700,128,low
elaeagnaceous,17.16,525100,50,low
